# Karelian Proper: New written karelian
Aasija	Aasija	PROPN;NOM;SG
Aasija	Aasija	PROPN;ACC;SG
Ahava	Ahava	N;NOM;SG
Ahava	Ahava	N;ACC;SG
Ahava	Ahavan	N;GEN;SG
Ahava	Ahavan	N;ACC;SG
Ahava	Ahavua	N;PRT;SG
Ahava	Ahavana	N;FRML;SG
Ahava	Ahavakši	N;TRANS;SG
Ahava	Ahavatta	N;PRIV ;SG
Ahava	Ahavašša	N;IN+ESS;SG
Ahava	Ahavašta	N;IN+ABL;SG
Ahava	Ahavalla	N;AT+ESS+ALL;SG
Ahava	Ahavah	N;IN+ALL;SG
Ahava	Ahavalta	N;AT+ABL;SG
Ahava	Ahavineh	N;COM;SG
Ahava	Ahavineh	N;COM;PL
Ahava	Ahavat	N;NOM;PL
Ahava	Ahavat	N;ACC;PL
Ahava	Ahavien	N;GEN;PL
Ahava	Ahavie	N;PRT;PL
Ahava	Ahavina	N;FRML;PL
Ahava	Ahaviksi	N;TRANS;PL
Ahava	Ahavitta	N;PRIV ;PL
Ahava	Ahavissa	N;IN+ESS;PL
Ahava	Ahavista	N;IN+ABL;PL
Ahava	Ahavilla	N;AT+ESS+ALL;PL
Ahava	Ahavih	N;IN+ALL;PL
Ahava	Ahavilta	N;AT+ABL;PL
Ahava	Ahavin	N;INS;PL
Ahti	Ahti	PROPN;NOM;SG
Ahti	Ahti	PROPN;ACC;SG
Ahti	Ahtie	PROPN;PRT;SG
Ahti	Ahin	PROPN;GEN;SG
Ahti	Ahin	PROPN;ACC;SG
Ahti	Ahiksi	PROPN;TRANS;SG
Ahti	Ahitta	PROPN;PRIV ;SG
Ahti	Ahissa	PROPN;IN+ESS;SG
Ahti	Ahista	PROPN;IN+ABL;SG
Ahti	Ahtih	PROPN;IN+ALL;SG
Ahti	Ahilla	PROPN;AT+ESS+ALL;SG
Ahti	Ahilta	PROPN;AT+ABL;SG
Ahti	Ahtiloin’eh	PROPN;COM;SG
Anna	Anna	PROPN;NOM;SG
Anna	Anna	PROPN;ACC;SG
Anna	Annan	PROPN;GEN;SG
Anna	Annan	PROPN;ACC;SG
Anna	Annana	PROPN;FRML;SG
Anna	Annakši	PROPN;TRANS;SG
Anna	Annašša	PROPN;IN+ESS;SG
Anna	Annašta	PROPN;IN+ABL;SG
Anna	Annah	PROPN;IN+ALL;SG
Anna	Annalla	PROPN;AT+ESS+ALL;SG
Anna	Annalda	PROPN;AT+ABL;SG
Anna	Annatta	PROPN;PRIV ;SG
Anna	Annanke	PROPN;COM;SG
Anna	Annačči	PROPN;PROL;SG
Anna	Annat	PROPN;NOM;PL
Anna	Annat	PROPN;ACC;PL
Australija	Australija	PROPN;NOM;SG
Australija	Australija	PROPN;ACC;SG
Azerbaidžan	Azerbaidžan	PROPN;NOM;SG
Azerbaidžan	Azerbaidžan	PROPN;ACC;SG
Kalevala	Kalevala	PROPN;NOM;SG
Kalevala	Kalevala	PROPN;ACC;SG
Kalevala	Kalevalan	PROPN;GEN;SG
Kalevala	Kalevalan	PROPN;ACC;SG
Kalevala	Kalevalua	PROPN;PRT;SG
Kalevala	Kalevalakši	PROPN;TRANS;SG
Kalevala	Kalevalatta	PROPN;PRIV ;SG
Kalevala	Kalevalana	PROPN;FRML;SG
Kalevala	Kalevalašša	PROPN;IN+ESS;SG
Kalevala	Kalevalašta	PROPN;IN+ABL;SG
Kalevala	Kalevalah	PROPN;IN+ALL;SG
Kalevala	Kalevalalla	PROPN;AT+ESS+ALL;SG
Kalevala	Kalevalalta	PROPN;AT+ABL;SG
Kalevala	Kalevalat	PROPN;NOM;PL
Kalevala	Kalevalat	PROPN;ACC;PL
Kalevala	Kalevalojen	PROPN;INS;PL
Kalevala	Kalevaloina	PROPN;FRML;PL
Kalevala	Kalevaloih	PROPN;IN+ALL;PL
Kalevala	Kalevalojeksi	PROPN;TRANS;PL
Kalevala	Kalevalojessa	PROPN;IN+ESS;PL
Kalevala	Kalevalojesta	PROPN;IN+ABL;PL
Kalevala	Kalevalojella	PROPN;AT+ESS+ALL;PL
